* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\user\Dropbox\MolLab2015\StudentProjects\STGsingleneuron\071415_inx1.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	BADROX	HIGHSD	NOISE	SPIKE	NOSIGNAL	OUTLIERRG	EXPFAIL
A1	m1	inx1	UNKNOWN	SYBR	None	Undetermined	27.7815	0.2902				false	2.4896	true	1	2	79.9442				N	Y	N	Y	Y	N	N	N
A2	m1	inx1	UNKNOWN	SYBR	None	27.9867	27.7815	0.2902				false	2.4896	true	3	20	79.9442				N	Y	N	N	N	N	N	N
A3	m1	inx1	UNKNOWN	SYBR	None	27.5763	27.7815	0.2902				false	2.4896	true	3	20	79.9423				N	Y	N	N	N	N	N	N
A4	m9	inx1	UNKNOWN	SYBR	None	28.366	28.2256	0.2513				false	2.4896	true	3	21	80.9067				N	Y	N	N	N	N	N	N
A5	m9	inx1	UNKNOWN	SYBR	None	28.3754	28.2256	0.2513				false	2.4896	true	3	22	81.0066				N	Y	N	N	N	N	N	N
A6	m9	inx1	UNKNOWN	SYBR	None	27.9355	28.2256	0.2513				false	2.4896	true	3	21	79.9813				N	Y	N	N	N	N	Y	N
A7	z1	inx1	UNKNOWN	SYBR	None	33.5135	34.7188	1.7045				false	2.4896	true	3	24	77.9491				N	Y	Y	N	N	N	N	N
A8	z1	inx1	UNKNOWN	SYBR	None							false	2.4896	true	3	27					N	N	N	N	N	N	N	N
A9	z1	inx1	UNKNOWN	SYBR	None	35.9241	34.7188	1.7045				false	2.4896	true	3	26	77.9437				N	Y	Y	N	N	N	N	N
A10	z9	inx1	UNKNOWN	SYBR	None	34.2724	34.2724					false	2.4896	true	3	27	77.9437				N	N	N	N	N	N	N	N
A11	z9	inx1	UNKNOWN	SYBR	None							false	2.4896	true	3	15					N	N	N	N	N	N	N	N
A12	z9	inx1	UNKNOWN	SYBR	None	Undetermined	34.2724					false	2.4896	true	3	23	63.112				N	N	N	N	N	N	N	N
B1	m2	inx1	UNKNOWN	SYBR	None	28.8333	28.3218	0.7213				false	2.4896	true	3	22	79.9442				N	Y	Y	N	N	N	N	N
B2	m2	inx1	UNKNOWN	SYBR	None	28.6354	28.3218	0.7213				false	2.4896	true	3	21	79.9442				N	Y	Y	N	N	N	N	N
B3	m2	inx1	UNKNOWN	SYBR	None	27.4968	28.3218	0.7213				false	2.4896	true	3	20	79.9423				N	Y	Y	N	N	N	N	N
B4	m10	inx1	UNKNOWN	SYBR	None	30.0174	29.6883	0.4011				false	2.4896	true	3	24	79.9423				N	Y	N	N	N	N	N	N
B5	m10	inx1	UNKNOWN	SYBR	None	29.8059	29.6883	0.4011				false	2.4896	true	3	22	79.9813				N	Y	N	N	N	N	N	N
B6	m10	inx1	UNKNOWN	SYBR	None	29.2415	29.6883	0.4011				false	2.4896	true	3	21	79.9813				N	Y	N	N	N	N	N	N
B7	z2	inx1	UNKNOWN	SYBR	None	31.944	30.8011	0.9947				false	2.4896	true	3	24	79.948				N	Y	Y	N	N	N	N	N
B8	z2	inx1	UNKNOWN	SYBR	None	30.3294	30.8011	0.9947				false	2.4896	true	3	22	79.948				N	Y	Y	N	N	N	N	N
B9	z2	inx1	UNKNOWN	SYBR	None	30.1301	30.8011	0.9947				false	2.4896	true	3	23	79.9394				N	Y	Y	N	N	N	N	N
B10	z10	inx1	UNKNOWN	SYBR	None	32.1157	31.018	1.626				false	2.4896	true	3	24	79.9394				N	N	Y	N	N	N	N	N
B11	z10	inx1	UNKNOWN	SYBR	None	31.7882	31.018	1.626				false	2.4896	true	3	23	78.2458				N	Y	Y	N	N	N	N	N
B12	z10	inx1	UNKNOWN	SYBR	None	29.15	31.018	1.626				false	2.4896	true	3	19	79.2981				N	Y	Y	N	N	N	N	N
C1	m3	inx1	UNKNOWN	SYBR	None	28.8427	29.2498	0.7735				false	2.4896	true	3	21	80.9059				N	Y	Y	N	N	N	N	N
C2	m3	inx1	UNKNOWN	SYBR	None	28.7649	29.2498	0.7735				false	2.4896	true	3	22	79.9442				N	Y	Y	N	N	N	N	N
C3	m3	inx1	UNKNOWN	SYBR	None	30.1418	29.2498	0.7735				false	2.4896	true	3	22	80.9067				N	N	Y	N	N	N	N	N
C4	m11	inx1	UNKNOWN	SYBR	None	30.952	29.8567	0.9617				false	2.4896	true	3	23	79.9423				N	Y	Y	N	N	N	N	N
C5	m11	inx1	UNKNOWN	SYBR	None	29.1501	29.8567	0.9617				false	2.4896	true	3	23	81.0066				N	Y	Y	N	N	N	N	N
C6	m11	inx1	UNKNOWN	SYBR	None	29.4682	29.8567	0.9617				false	2.4896	true	3	22	81.0066				N	Y	Y	N	N	N	N	N
C7	z3	inx1	UNKNOWN	SYBR	None	30.1166	29.4279	0.8751				false	2.4896	true	3	21	79.948				N	N	Y	N	N	N	N	N
C8	z3	inx1	UNKNOWN	SYBR	None	29.724	29.4279	0.8751				false	2.4896	true	3	21	79.948				N	N	Y	N	N	N	N	N
C9	z3	inx1	UNKNOWN	SYBR	None	28.4433	29.4279	0.8751				false	2.4896	true	3	20	79.9394				N	Y	Y	N	N	N	N	N
C10	z11	inx1	UNKNOWN	SYBR	None							false	2.4896	true	3	27					N	N	N	N	N	N	N	N
C11	z11	inx1	UNKNOWN	SYBR	None	Undetermined						false	2.4896	true	3	33	63.112				N	N	N	N	N	N	N	N
C12	z11	inx1	UNKNOWN	SYBR	None	Undetermined						false	2.4896	true	3	39	62.1205				N	N	N	N	N	N	N	Y
D1	m4	inx1	UNKNOWN	SYBR	None	28.3061	27.9806	0.537				false	2.4896	true	3	20	79.9442				N	Y	Y	N	N	N	N	N
D2	m4	inx1	UNKNOWN	SYBR	None	28.2748	27.9806	0.537				false	2.4896	true	3	18	79.9442				N	Y	Y	N	N	N	N	N
D3	m4	inx1	UNKNOWN	SYBR	None	27.3608	27.9806	0.537				false	2.4896	true	3	19	79.9423				N	Y	Y	N	N	N	N	N
D4	m12	inx1	UNKNOWN	SYBR	None	30.0366	29.2825	0.6594				false	2.4896	true	3	22	79.9423				N	Y	Y	N	N	N	N	N
D5	m12	inx1	UNKNOWN	SYBR	None	28.9961	29.2825	0.6594				false	2.4896	true	3	20	79.9813				N	Y	Y	N	N	N	N	N
D6	m12	inx1	UNKNOWN	SYBR	None	28.8148	29.2825	0.6594				false	2.4896	true	3	21	79.9813				N	N	Y	N	N	N	N	N
D7	z4	inx1	UNKNOWN	SYBR	None	30.4997	30.0775	0.5037				false	2.4896	true	3	21	79.948				N	N	Y	N	N	N	N	N
D8	z4	inx1	UNKNOWN	SYBR	None	29.5199	30.0775	0.5037				false	2.4896	true	3	22	79.948				N	Y	Y	N	N	N	N	N
D9	z4	inx1	UNKNOWN	SYBR	None	30.2128	30.0775	0.5037				false	2.4896	true	3	20	79.9394				N	N	Y	N	N	N	N	N
D10	z12	inx1	UNKNOWN	SYBR	None	29.1704	28.9277	0.6174				false	2.4896	true	3	21	79.9394				N	N	Y	N	N	N	N	N
D11	z12	inx1	UNKNOWN	SYBR	None	29.3869	28.9277	0.6174				false	2.4896	true	3	21	81.2987				N	N	Y	N	N	N	N	N
D12	z12	inx1	UNKNOWN	SYBR	None	28.2258	28.9277	0.6174				false	2.4896	true	3	20	81.2987				N	Y	Y	N	N	N	N	N
E1	m5	inx1	UNKNOWN	SYBR	None	30.0711	29.7865	0.4471				false	2.4896	true	3	22	79.9442				N	Y	N	N	N	N	N	N
E2	m5	inx1	UNKNOWN	SYBR	None	30.0171	29.7865	0.4471				false	2.4896	true	3	22	79.9442				N	Y	N	N	N	N	N	N
