sample,gene,ct,well,method,tissue,cell
m1,CbNaV,28.5585,A1,maxwell,neuron,a
m1,CbNaV,29.1744,A2,maxwell,neuron,a
m1,CbNaV,28.7034,A3,maxwell,neuron,a
m1,IH,33.1663,A1,maxwell,neuron,a
m1,IH,31.0995,A2,maxwell,neuron,a
m1,IH,31.4628,A3,maxwell,neuron,a
m1,inx1,-1,A1,maxwell,neuron,a
m1,inx1,27.9867,A2,maxwell,neuron,a
m1,inx1,27.5763,A3,maxwell,neuron,a
m1,inx2,31.1363,A1,maxwell,neuron,a
m1,inx2,29.8398,A2,maxwell,neuron,a
m1,inx2,27.5181,A3,maxwell,neuron,a
m1,shal,31.9511,A1,maxwell,neuron,a
m1,shal,31.7459,A2,maxwell,neuron,a
m1,shal,31.3206,A3,maxwell,neuron,a
m10,CbNaV,29.5116,B4,maxwell,neuron,a
m10,CbNaV,30.6129,B5,maxwell,neuron,a
m10,CbNaV,29.3983,B6,maxwell,neuron,a
m10,IH,33.9671,B4,maxwell,neuron,a
m10,IH,31.3391,B5,maxwell,neuron,a
m10,IH,31.7235,B6,maxwell,neuron,a
m10,inx1,30.0174,B4,maxwell,neuron,a
m10,inx1,29.8059,B5,maxwell,neuron,a
m10,inx1,29.2415,B6,maxwell,neuron,a
m10,inx2,30.8048,B4,maxwell,neuron,a
m10,inx2,29.9949,B5,maxwell,neuron,a
m10,inx2,28.3942,B6,maxwell,neuron,a
m10,shal,34.738,B4,maxwell,neuron,a
m10,shal,31.7216,B5,maxwell,neuron,a
m10,shal,32.1692,B6,maxwell,neuron,a
m11,CbNaV,28.5965,C4,maxwell,neuron,a
m11,CbNaV,29.1507,C5,maxwell,neuron,a
m11,CbNaV,28.5162,C6,maxwell,neuron,a
m11,IH,32.9494,C4,maxwell,neuron,a
m11,IH,28.7148,C5,maxwell,neuron,a
m11,IH,32.0499,C6,maxwell,neuron,a
m11,inx1,30.952,C4,maxwell,neuron,a
m11,inx1,29.1501,C5,maxwell,neuron,a
m11,inx1,29.4682,C6,maxwell,neuron,a
m11,inx2,31.491,C4,maxwell,neuron,a
m11,inx2,30.052,C5,maxwell,neuron,a
m11,inx2,29.3394,C6,maxwell,neuron,a
m11,shal,32.3477,C4,maxwell,neuron,a
m11,shal,31.5025,C5,maxwell,neuron,a
m11,shal,32.231,C6,maxwell,neuron,a
m12,CbNaV,28.2993,D4,maxwell,neuron,a
m12,CbNaV,29.1105,D5,maxwell,neuron,a
m12,CbNaV,28.1064,D6,maxwell,neuron,a
m12,IH,31.8398,D4,maxwell,neuron,a
m12,IH,31.4799,D5,maxwell,neuron,a
m12,IH,31.0619,D6,maxwell,neuron,a
m12,inx1,30.0366,D4,maxwell,neuron,a
m12,inx1,28.9961,D5,maxwell,neuron,a
m12,inx1,28.8148,D6,maxwell,neuron,a
m12,inx2,30.2187,D4,maxwell,neuron,a
m12,inx2,30.2447,D5,maxwell,neuron,a
m12,inx2,29.0128,D6,maxwell,neuron,a
m12,shal,33.9602,D4,maxwell,neuron,a
m12,shal,31.4558,D5,maxwell,neuron,a
m12,shal,31.4566,D6,maxwell,neuron,a
m13,CbNaV,29.6976,E4,maxwell,neuron,a
m13,CbNaV,30.326,E5,maxwell,neuron,a
m13,CbNaV,29.6344,E6,maxwell,neuron,a
m13,IH,-1,E4,maxwell,neuron,a
m13,IH,NA,E5,maxwell,neuron,a
m13,IH,-1,E6,maxwell,neuron,a
m13,inx1,31.0419,E4,maxwell,neuron,a
m13,inx1,30.2816,E5,maxwell,neuron,a
m13,inx1,30.4618,E6,maxwell,neuron,a
m13,inx2,31.6958,E4,maxwell,neuron,a
m13,inx2,31.618,E5,maxwell,neuron,a
m13,inx2,30.4653,E6,maxwell,neuron,a
m13,shal,33.3957,E4,maxwell,neuron,a
m13,shal,34.8712,E5,maxwell,neuron,a
m13,shal,33.7481,E6,maxwell,neuron,a
m14,CbNaV,29.2179,F4,maxwell,neuron,a
m14,CbNaV,29.5256,F5,maxwell,neuron,a
m14,CbNaV,28.7839,F6,maxwell,neuron,a
m14,IH,31.7753,F4,maxwell,neuron,a
m14,IH,32.6384,F5,maxwell,neuron,a
m14,IH,30.6646,F6,maxwell,neuron,a
m14,inx1,29.9758,F4,maxwell,neuron,a
m14,inx1,29.3745,F5,maxwell,neuron,a
m14,inx1,29.699,F6,maxwell,neuron,a
m14,inx2,30.0894,F4,maxwell,neuron,a
m14,inx2,30.1307,F5,maxwell,neuron,a
m14,inx2,28.4503,F6,maxwell,neuron,a
m14,shal,30.8433,F4,maxwell,neuron,a
m14,shal,32.045,F5,maxwell,neuron,a
m14,shal,30.8075,F6,maxwell,neuron,a
m15,CbNaV,28.7173,G4,maxwell,neuron,a
m15,CbNaV,29.5759,G5,maxwell,neuron,a
m15,CbNaV,29.4916,G6,maxwell,neuron,a
m15,IH,33.0531,G4,maxwell,neuron,a
m15,IH,32.289,G5,maxwell,neuron,a
m15,IH,31.5367,G6,maxwell,neuron,a
m15,inx1,30.6326,G4,maxwell,neuron,a
m15,inx1,29.9916,G5,maxwell,neuron,a
m15,inx1,30.0506,G6,maxwell,neuron,a
m15,inx2,31.455,G4,maxwell,neuron,a
m15,inx2,31.2069,G5,maxwell,neuron,a
m15,inx2,29.0658,G6,maxwell,neuron,a
m15,shal,31.9336,G4,maxwell,neuron,a
m15,shal,31.6698,G5,maxwell,neuron,a
m15,shal,31.1843,G6,maxwell,neuron,a
m16,CbNaV,-1,H4,maxwell,neuron,a
m16,CbNaV,-1,H5,maxwell,neuron,a
m16,CbNaV,31.8969,H6,maxwell,neuron,a
m16,IH,NA,H4,maxwell,neuron,a
m16,IH,NA,H5,maxwell,neuron,a
m16,IH,NA,H6,maxwell,neuron,a
m16,inx1,25.1746,H4,maxwell,neuron,a
m16,inx1,24.1218,H5,maxwell,neuron,a
m16,inx1,24.7393,H6,maxwell,neuron,a
m16,inx2,25.4928,H4,maxwell,neuron,a
m16,inx2,24.9824,H5,maxwell,neuron,a
m16,inx2,-1,H6,maxwell,neuron,a
m16,shal,-1,H4,maxwell,neuron,a
m16,shal,-1,H5,maxwell,neuron,a
m16,shal,-1,H6,maxwell,neuron,a
m2,CbNaV,NA,B1,maxwell,neuron,a
m2,CbNaV,28.1984,B2,maxwell,neuron,a
m2,CbNaV,27.7361,B3,maxwell,neuron,a
m2,IH,-1,B1,maxwell,neuron,a
m2,IH,31.6545,B2,maxwell,neuron,a
m2,IH,32.0768,B3,maxwell,neuron,a
m2,inx1,28.8333,B1,maxwell,neuron,a
m2,inx1,28.6354,B2,maxwell,neuron,a
m2,inx1,27.4968,B3,maxwell,neuron,a
m2,inx2,30.4615,B1,maxwell,neuron,a
m2,inx2,29.4972,B2,maxwell,neuron,a
m2,inx2,27.0667,B3,maxwell,neuron,a
m2,shal,30.197,B1,maxwell,neuron,a
m2,shal,30.9024,B2,maxwell,neuron,a
m2,shal,30.6301,B3,maxwell,neuron,a
m3,CbNaV,28.1977,C1,maxwell,neuron,a
m3,CbNaV,27.7155,C2,maxwell,neuron,a
m3,CbNaV,30.4006,C3,maxwell,neuron,a
m3,IH,NA,C1,maxwell,neuron,a
