* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\user\Dropbox\MolLab2015\StudentProjects\STGsingleneuron\071315_shal.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	BADROX	HIGHSD	NOISE	OUTLIERRG	EXPFAIL
A1	m1	shal	UNKNOWN	SYBR	None	31.9511	31.6725	0.3216				false	2.1861	true	3	25	80.9285				N	Y	N	N	N	N
A2	m1	shal	UNKNOWN	SYBR	None	31.7459	31.6725	0.3216				false	2.1861	true	3	22	80.9285				N	Y	N	N	N	N
A3	m1	shal	UNKNOWN	SYBR	None	31.3206	31.6725	0.3216				false	2.1861	true	3	24	79.9647				N	Y	N	N	N	N
A4	m9	shal	UNKNOWN	SYBR	None	31.1646	31.6206	0.3983				false	2.1861	true	3	21	79.9647				N	Y	N	N	N	N
A5	m9	shal	UNKNOWN	SYBR	None	31.7973	31.6206	0.3983				false	2.1861	true	3	22	80.9833				N	Y	N	N	N	N
A6	m9	shal	UNKNOWN	SYBR	None	31.9	31.6206	0.3983				false	2.1861	true	3	23	80.9833				N	Y	N	N	N	N
A7	z1	shal	UNKNOWN	SYBR	None	Undetermined						false	2.1861	true	3	17	61.9981				N	N	N	N	N	N
A8	z1	shal	UNKNOWN	SYBR	None	Undetermined						false	2.1861	true	3	39	61.9981				N	N	N	N	N	Y
A9	z1	shal	UNKNOWN	SYBR	None	Undetermined						false	2.1861	true	3	25	62.8953				N	N	N	N	N	N
A10	z9	shal	UNKNOWN	SYBR	None	Undetermined						false	2.1861	true	3	5	62.8953				N	N	N	N	N	N
A11	z9	shal	UNKNOWN	SYBR	None	Undetermined						false	2.1861	true	3	23	63.2793				N	N	N	N	N	N
A12	z9	shal	UNKNOWN	SYBR	None	Undetermined						false	2.1861	true	3	39	62.3161				N	N	N	N	N	Y
B1	m2	shal	UNKNOWN	SYBR	None	30.197	30.5765	0.3558				false	2.1861	true	3	26	79.9323				N	Y	N	N	N	N
B2	m2	shal	UNKNOWN	SYBR	None	30.9024	30.5765	0.3558				false	2.1861	true	3	22	79.9323				N	Y	N	N	N	N
