* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\user\Dropbox\MolLab2015\StudentProjects\STGsingleneuron\071415_IH.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	BADROX	HIGHSD	NOISE	SPIKE	NOSIGNAL	EXPFAIL
A1	m1	IH	UNKNOWN	SYBR	None	33.1663	31.9095	1.1034				false	2.7433	true	3	25	81.9329				Y	Y	N	N	N	N
A2	m1	IH	UNKNOWN	SYBR	None	31.0995	31.9095	1.1034				false	2.7433	true	3	24	81.9329				N	Y	N	N	N	N
A3	m1	IH	UNKNOWN	SYBR	None	31.4628	31.9095	1.1034				false	2.7433	true	3	23	81.8883				N	Y	N	N	N	N
A4	m9	IH	UNKNOWN	SYBR	None	33.3859	32.3897	0.8659				false	2.7433	true	3	26	81.8883				N	Y	N	N	N	N
A5	m9	IH	UNKNOWN	SYBR	None	31.8173	32.3897	0.8659				false	2.7433	true	3	24	82.0332				N	Y	N	N	N	N
A6	m9	IH	UNKNOWN	SYBR	None	31.9657	32.3897	0.8659				false	2.7433	true	3	26	82.0332				N	Y	N	N	N	N
A7	z1	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	33	62.0208				N	N	N	N	N	N
A8	z1	IH	UNKNOWN	SYBR	None							false	2.7433	true	1	2					N	N	N	N	N	N
A9	z1	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	39	62.9298				N	N	N	Y	N	Y
A10	z9	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	39	62.9298				Y	N	N	N	N	Y
A11	z9	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	20	63.2185				N	N	N	N	N	N
A12	z9	IH	UNKNOWN	SYBR	None							false	2.7433	true	1	2					N	N	N	N	N	N
B1	m2	IH	UNKNOWN	SYBR	None	Undetermined	31.8657	0.2986				false	2.7433	true	3	39	61.9531				N	N	N	N	N	Y
B2	m2	IH	UNKNOWN	SYBR	None	31.6545	31.8657	0.2986				false	2.7433	true	3	26	81.9329				N	N	N	N	N	N
B3	m2	IH	UNKNOWN	SYBR	None	32.0768	31.8657	0.2986				false	2.7433	true	3	24	82.8809				N	N	N	N	N	N
B4	m10	IH	UNKNOWN	SYBR	None	33.9671	32.3433	1.4193				false	2.7433	true	3	25	81.8883				N	Y	N	N	N	N
B5	m10	IH	UNKNOWN	SYBR	None	31.3391	32.3433	1.4193				false	2.7433	true	3	24	82.0332				N	Y	N	N	N	N
B6	m10	IH	UNKNOWN	SYBR	None	31.7235	32.3433	1.4193				false	2.7433	true	3	23	83.0238				N	Y	N	N	N	N
B7	z2	IH	UNKNOWN	SYBR	None	34.6938	33.5032	1.4352				false	2.7433	true	3	26	81.9397				N	Y	N	N	N	N
B8	z2	IH	UNKNOWN	SYBR	None	33.9061	33.5032	1.4352				false	2.7433	true	3	24	81.9397				N	Y	N	N	N	N
B9	z2	IH	UNKNOWN	SYBR	None	31.9096	33.5032	1.4352				false	2.7433	true	3	24	81.8423				N	Y	N	N	N	N
B10	z10	IH	UNKNOWN	SYBR	None	Undetermined	34.818	0.1824				false	2.7433	true	3	31	62.9298				N	N	N	N	N	N
B11	z10	IH	UNKNOWN	SYBR	None	34.689	34.818	0.1824				false	2.7433	true	3	27	80.3477				N	N	N	N	N	N
B12	z10	IH	UNKNOWN	SYBR	None	34.947	34.818	0.1824				false	2.7433	true	3	24	80.3477				N	N	N	N	N	N
C1	m3	IH	UNKNOWN	SYBR	None							false	2.7433	true	3	23					N	N	N	N	N	N
C2	m3	IH	UNKNOWN	SYBR	None							false	2.7433	true	3	17					N	N	N	N	N	N
C3	m3	IH	UNKNOWN	SYBR	None							false	2.7433	true	3	24					N	N	N	N	N	N
C4	m11	IH	UNKNOWN	SYBR	None	32.9494	31.2381	2.231				false	2.7433	true	3	26	81.8883				N	Y	N	N	N	N
C5	m11	IH	UNKNOWN	SYBR	None	28.7148	31.2381	2.231				false	2.7433	true	3	24	80.0543				Y	Y	Y	N	N	N
C6	m11	IH	UNKNOWN	SYBR	None	32.0499	31.2381	2.231				false	2.7433	true	3	24	82.0332				N	Y	N	N	N	N
C7	z3	IH	UNKNOWN	SYBR	None	Undetermined	34.8689					false	2.7433	true	3	39	62.0208				N	N	N	N	N	Y
C8	z3	IH	UNKNOWN	SYBR	None	Undetermined	34.8689					false	2.7433	true	3	14	62.0208				N	N	N	N	N	N
C9	z3	IH	UNKNOWN	SYBR	None	34.8689	34.8689					false	2.7433	true	3	25	79.8695				N	N	N	N	N	N
C10	z11	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	38	62.9298				N	N	N	N	N	Y
C11	z11	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	16	62.1588				N	N	N	N	N	N
C12	z11	IH	UNKNOWN	SYBR	None	Undetermined						false	2.7433	true	3	10	62.1588				N	N	N	N	N	N
