* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\071615_ccapr.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	BADROX	HIGHSD
A1	1	ccapr	UNKNOWN	SYBR	None	22.534	20.5407	1.8954				false	0.7398	true	3	15	84.8598				N	Y	Y
A2	1	ccapr	UNKNOWN	SYBR	None	20.3268	20.5407	1.8954				false	0.7398	true	3	14	84.8598				N	Y	Y
A3	1	ccapr	UNKNOWN	SYBR	None	18.7613	20.5407	1.8954				false	0.7398	true	3	11	84.8936				N	Y	Y
A4	9	ccapr	UNKNOWN	SYBR	None	17.9735	17.1706	0.724				false	0.7398	true	3	13	84.8936				N	Y	Y
A5	9	ccapr	UNKNOWN	SYBR	None	16.9706	17.1706	0.724				false	0.7398	true	3	10	84.9436				N	Y	Y
A6	9	ccapr	UNKNOWN	SYBR	None	16.5675	17.1706	0.724				false	0.7398	true	3	7	84.9436				N	Y	Y
A7	1																				N	N	N
A8	1																				N	N	N
A9	1																				N	N	N
A10	9																				N	N	N
A11	9																				N	N	N
A12	9																				N	N	N
B1	2	ccapr	UNKNOWN	SYBR	None	21.8538	20.4262	2.0189				false	0.7398	true	3	16	84.8598				N	Y	Y
B2	2	ccapr	UNKNOWN	SYBR	None	18.9986	20.4262	2.0189				false	0.7398	true	3	12	84.8598				N	N	Y
B3	2	ccapr	UNKNOWN	SYBR	None							false	0.7398	true	1	2					N	N	N
B4	10	ccapr	UNKNOWN	SYBR	None	21.2052	20.2781	0.9201				false	0.7398	true	3	15	84.8936				N	N	Y
B5	10	ccapr	UNKNOWN	SYBR	None	20.2638	20.2781	0.9201				false	0.7398	true	3	13	84.9436				N	N	Y
B6	10	ccapr	UNKNOWN	SYBR	None	19.3653	20.2781	0.9201				false	0.7398	true	3	11	83.9792				N	N	Y
B7	2																				N	N	N
B8	2																				N	N	N
B9	2																				N	N	N
B10	10																				N	N	N
B11	10																				N	N	N
B12	10																				N	N	N
