Well	Sample Name	Target Name	C?	muscle	crab
A1	1	inx1	19.8104	3a	3
A2	1	inx1	17.9181	3a	3
A3	1	inx1	17.6341	3a	3
A7	1	inx2	14.9767	3a	3
A8	1	inx2	15.2539	3a	3
A9	1	inx2	13.5443	3a	3
B1	2	inx1	20.0535	6ab	4
B2	2	inx1	17.1717	6ab	4
B3	2	inx1	16.8801	6ab	4
B7	2	inx2	14.3773	6ab	4
B8	2	inx2	14.3829	6ab	4
B9	2	inx2	12.7351	6ab	4
C1	3	inx1	19.2393	8b	1
C2	3	inx1	16.9226	8b	1
C3	3	inx1	18.9046	8b	1
C7	3	inx2	13.2857	8b	1
C8	3	inx2	14.3914	8b	1
C9	3	inx2	13.7382	8b	1
D1	4	inx1	21.8738	8a	1
D2	4	inx1	20.2682	8a	1
D3	4	inx1	19.0347	8a	1
D7	4	inx2	16.5173	8a	1
D8	4	inx2	15.9761	8a	1
D9	4	inx2	16.7027	8a	1
E1	5	inx1	19.6645	6ab	3
E2	5	inx1	17.7131	6ab	3
E3	5	inx1	17.7245	6ab	3
E7	5	inx2	15.2375	6ab	3
E8	5	inx2	15.3463	6ab	3
E9	5	inx2	13.3437	6ab	3
F1	6	inx1	21.2335	8a	4
F2	6	inx1	19.4046	8a	4
F3	6	inx1	19.052	8a	4
F7	6	inx2	16.0039	8a	4
F8	6	inx2	15.3077	8a	4
F9	6	inx2	15.6528	8a	4
G1	7	inx1	18.5109	5b	3
G2	7	inx1	17.3703	5b	3
G3	7	inx1	16.8735	5b	3
G7	7	inx2	13.9669	5b	3
G8	7	inx2	14.2118	5b	3
G9	7	inx2	12.4569	5b	3
H1	8	inx1	17.8954	3b	3
H2	8	inx1	16.2728	3b	3
H3	8	inx1	15.8566	3b	3
H7	8	inx2	13.5385	3b	3
H8	8	inx2	12.8604	3b	3
H9	8	inx2	12.3666	3b	3
A4	9	inx1	16.8632	5ab	4
A5	9	inx1	16.6668	5ab	4
A6	9	inx1	16.9038	5ab	4
A10	9	inx2	13.0531	5ab	4
A11	9	inx2	13.5259	5ab	4
A12	9	inx2	15.4069	5ab	4
B4	10	inx1	21.0065	6ab	1
B5	10	inx1	20.3146	6ab	1
B6	10	inx1	20.4211	6ab	1
B10	10	inx2	17.642	6ab	1
B11	10	inx2	16.9472	6ab	1
B12	10	inx2	16.9895	6ab	1
C4	11	inx1	19.1317	8a	2
C5	11	inx1	18.2567	8a	2
C6	11	inx1	17.9358	8a	2
C10	11	inx2	15.4521	8a	2
C11	11	inx2	15.5374	8a	2
C12	11	inx2	14.8495	8a	2
D4	12	inx1	19.6852	8b	2
D5	12	inx1	18.9626	8b	2
D6	12	inx1	18.592	8b	2
D10	12	inx2	17.3808	8b	2
D11	12	inx2	16.1693	8b	2
D12	12	inx2	15.5573	8b	2
E4	13	inx1	21.2636	5b	1
E5	13	inx1	20.093	5b	1
E6	13	inx1	22.3484	5b	1
E10	13	inx2	17.158	5b	1
E11	13	inx2	18.9478	5b	1
E12	13	inx2	16.9031	5b	1
F4	14	inx1	18.8794	5b	2
F5	14	inx1	17.8626	5b	2
F6	14	inx1	17.5059	5b	2
F10	14	inx2	14.976	5b	2
F11	14	inx2	14.6915	5b	2
F12	14	inx2	14.6533	5b	2
G4	15	inx1	21.1603	6ab	2
G5	15	inx1	20.6344	6ab	2
G6	15	inx1	19.6857	6ab	2
G10	15	inx2	16.6337	6ab	2
G11	15	inx2	16.6987	6ab	2
G12	15	inx2	17.1488	6ab	2
